ticker,chunk_id,Question,Ground_Truth_Answer,Source_Passage,Question_Type,Difficulty
MSFT,2,"According to the excerpt, what four monetized solutions does LinkedIn offer in addition to its free services?","LinkedIn offers four monetized solutions designed to provide AI-enabled insights and productivity: Talent Solutions, Marketing Solutions, Premium Subscriptions, and Sales Solutions.","LinkedIn offers monetized solutions designed to offer AI-enabled insights and productivity: Talent Solutions, Marketing Solutions, Premium Subscriptions, and Sales Solutions.",Fact extraction,Easy
MSFT,2,What factors primarily drive Dynamics revenue and what shift is the company emphasizing within this product line?,"Dynamics revenue is driven by the number of users licensed and applications consumed, expansion of average revenue per user, and the continued shift to Dynamics 365, a unified set of cloud-based intelligent business applications, including low code development platforms such as Power Apps and Power Automate.","Dynamics revenue is driven by the number of users licensed and applications consumed, expansion of average revenue per user, and the continued shift to Dynamics 365, a unified set of cloud-based intelligent business applications, including our low code development platforms, such as Power Apps and Power Automate.",Multi-step reasoning,Medium
MSFT,4,"As of June 30, 2025, how many full-time employees did the company have in the U.S. versus internationally?","The company employed approximately 228,000 people full-time as of June 30, 2025, with 125,000 in the U.S. and 103,000 internationally.","As of June 30, 2025, we employed approximately 228,000 people on a full-time basis, 125,000 in the U.S. and 103,000 internationally.",Fact extraction,Easy
MSFT,4,"By how many employees did the operations function exceed the product research and development function as of June 30, 2025?","Operations employed 89,000 people while product research and development employed 80,000, so operations exceeded R&D by 9,000 employees.","89,000 were in operations, including product support and consulting services, datacenter operations, and manufacturing and distribution; 80,000 were in product research and development",Numeric calculation,Medium
MSFT,1,"In what year did Microsoft announce its goals to become a carbon negative, water positive, and zero waste company, and by what target year are these goals to be achieved?","Microsoft announced these goals in 2020, with a target of achieving them by 2030.","In 2020, we announced goals to become a carbon negative, water positive, and zero waste company by 2030.",Fact extraction,Easy
MSFT,1,"What segment composition change did Microsoft announce in August 2024, and when did the chief operating decision maker's reporting begin to reflect this change?","In August 2024, Microsoft announced changes to its segments, most notably bringing the commercial components of Microsoft 365 together in the Productivity and Business Processes segment. Beginning in fiscal year 2025, the information the chief operating decision maker is regularly provided and reviews for allocating resources and assessing performance reflects these segment changes.","In August 2024, we announced changes to the composition of our segments. These changes align our segments with how we currently manage our business, most notably bringing the commercial components of Microsoft 365 together in the Productivity and Business Processes segment. Beginning in fiscal year 2025, the information that our chief operating decision maker is regularly provided and reviews for purposes of allocating resources and assessing performance reflects these segment changes.",Multi-step reasoning,Medium
MSFT,3,"According to the excerpt, what three components primarily comprise Microsoft's More Personal Computing segment?","The More Personal Computing segment primarily comprises: (1) Windows and Devices, including Windows OEM licensing and Devices (Surface and PC accessories); (2) Gaming, including Xbox hardware and Xbox content and services; and (3) Search and news advertising, comprising Bing and Copilot, Microsoft News, Microsoft Edge, and third-party affiliates.","Windows and Devices, including Windows OEM licensing (Windows Pro and non-Pro licenses sold through the OEM channel) and Devices, comprising Surface and PC accessories.

Gaming, including Xbox hardware and Xbox content and services, comprising first- and third-party content (including games and in-game content), Xbox Game Pass and other subscriptions, Xbox Cloud Gaming, advertising, and other cloud services.

Search and news advertising, comprising Bing and Copilot, Microsoft News, Microsoft Edge, and third-party affiliates.",Fact extraction,Medium
MSFT,3,What factors does the excerpt identify as impacting Windows OEM revenue beyond computing device market volume?,"Beyond computing device market volume, Windows OEM revenue is impacted by: the mix of computing devices based on form factor and screen size; differences in device market demand between developed markets and growth markets; growth of the AI PC category; attachment of Windows to devices shipped; customer mix between consumer, small and medium businesses, and large enterprises; changes in inventory levels in the OEM channel; pricing changes and promotions and pricing variation when the mix shifts from local/regional system builders to large multinational OEMs and different pricing of Windows versions licensed; and constraints in the supply chain of device components.","In addition to computing device market volume, Windows OEM revenue is impacted by:

The mix of computing devices based on form factor and screen size.

Differences in device market demand between developed markets and growth markets.

Growth of the AI PC category.

Attachment of Windows to devices shipped.

Customer mix between consumer, small and medium businesses, and large enterprises.

Changes in inventory levels in the OEM channel.

Pricing changes and promotions, pricing variation that occurs when the mix of devices manufactured shifts from local and regional system builders to large multinational OEMs, and different pricing of Windows versions licensed.

Constraints in the supply chain of device components.",Multi-step reasoning,Hard
MSFT,7,"According to the excerpt, what are the potential financial consequences of shifting a portion of the company's business to a vertically-integrated model?",Shifting a portion of the business to a vertically-integrated model may increase the company's cost of revenue and reduce its operating margins.,Shifting a portion of our business to a vertically-integrated model may increase our cost of revenue and reduce our operating margins.,Fact extraction,Easy
MSFT,7,"How do competitors who modify and distribute open source software gain a cost advantage over the company, and what business models do they use to earn revenue?","These firms do not bear the full costs of research and development for the open source products, giving them a cost advantage. They earn revenue on advertising or integrated products and services, and may also develop, make available, or use AI models that are open.","Some companies compete with us by modifying and then distributing open source software at little or no cost to end users, developing, making available, or using AI models that are open, and earning revenue on advertising or integrated products and services. These firms do not bear the full costs of research and development for the open source products.",Multi-step reasoning,Medium
MSFT,5,"Which three multinational OEMs are specifically named as having distribution agreements with Microsoft, and how does the report distinguish direct OEMs from system builders?","The three named multinational OEMs are Dell, Hewlett-Packard, and Lenovo. Direct OEMs are distinguished because Microsoft's relationship with them is managed through a direct agreement between Microsoft and the OEM, while system builders are lower-volume PC manufacturers that source Microsoft software for pre-installation and local redistribution primarily through the Microsoft distributor channel rather than through a direct agreement or relationship with Microsoft.","We have distribution agreements covering one or more of our products with virtually all the multinational OEMs, including Dell, Hewlett-Packard, Lenovo, and with many regional and local OEMs. The second broad category of OEMs are system builders consisting of lower-volume PC manufacturers, which source Microsoft software for pre-installation and local redistribution primarily through the Microsoft distributor channel rather than through a direct agreement or relationship with Microsoft.",Fact extraction,Medium
MSFT,6,"In what years did Mr. Nadella become Chairman of the Board and Chief Executive Officer of Microsoft, and what role did he hold immediately before becoming CEO?","Mr. Nadella was appointed Chairman of the Board in June 2021 and Chief Executive Officer in February 2014. Immediately before becoming CEO, he served as Executive Vice President, Cloud and Enterprise from July 2013.","Mr. Nadella was appointed Chairman of the Board in June 2021 and Chief Executive Officer in February 2014. He served as Executive Vice President, Cloud and Enterprise from July 2013 until that time.",Fact extraction,Easy
MSFT,8,"What specific acquisition did the company complete in October 2023, and what strategic partnership phase did it announce in January 2023?","In October 2023 the company completed its acquisition of Activision Blizzard, Inc., and in January 2023 it announced the third phase of its OpenAI strategic partnership.","in

October 2023 we completed our acquisition of

, Inc. (“Activision Blizzard”). In January 2023 we announced the third phase of our OpenAI strategic partnership.",Fact extraction,Easy
MSFT,8,"According to the excerpt, how did a nation-state associated threat actor gain access to Microsoft email accounts beginning in late November 2023, and what further access did this lead to?","Beginning in late November 2023, a nation-state associated threat actor used a password spray attack to compromise a legacy test account and, in turn, gain access to Microsoft email accounts. The threat actor used information it obtained to gain unauthorized access to some of the company's source code repositories and internal systems.","beginning in late November 2023, a nation-state associated threat actor used a password spray attack to compromise a legacy test account and, in turn, gain access to Microsoft email accounts. The threat actor used information it obtained to gain unauthorized access to some of our source code repositories and internal systems",Multi-step reasoning,Medium
